학년,번호,도서명,저자,카테고리,만화여부,태그,추천이유
1학년,23,난 토마토 절대 안 먹어,로렌 차일드,문학,,"유머,식습관",편식하는 아이에게 음식의 재미를 알려주는 유쾌한 그림책이에요.
1학년,24,곰 사냥을 떠나자,마이클 로젠,문학,,"모험,리듬",반복되는 리듬과 의성어가 소리 내어 읽기에 딱 좋은 책이에요.
1학년,25,알사탕,백희나,문학,,"판타지,감정",사탕을 먹으면 마음의 소리가 들려요! 공감 능력을 키워주는 그림책이에요.
1학년,26,파도야 놀자,이수지,문학,,"자연,상상력",글 없이 그림만으로 바다와 노는 즐거움을 표현한 아름다운 그림책이에요.
1학년,27,거짓말 같은 이야기,강경수,문학,,"유머,상상력",거짓말처럼 재미있는 이야기가 꼬리에 꼬리를 무는 유쾌한 그림책이에요.
1학년,28,이게 정말 사과일까,요시타케 신스케,문학,,"호기심,상상력",사과 하나로 시작되는 끝없는 상상! 생각하는 힘을 키워줘요.
1학년,29,할머니의 여름휴가,안녕달,문학,,"가족,여름",할머니와 함께하는 특별한 여름 이야기. 따뜻한 가족 사랑이 느껴져요.
1학년,30,이파라파냐무냐무,이지은,문학,,"상상력,모험",늑대들의 대장을 뽑는 과정에서 벌어지는 상상력 넘치는 소동 이야기예요.
1학년,1,WHY? 우리 몸,예림당,비문학,O,"인체,과학",우리 몸의 신비를 만화로 쉽고 재미있게 알려줘요.
1학년,2,WHY? 동물,예림당,비문학,O,"동물,자연",다양한 동물들의 생태를 만화로 재미있게 배워요.
1학년,3,WHY? 곤충,예림당,비문학,O,"곤충,자연",신기한 곤충 세계를 만화로 탐험해요.
1학년,4,WHY? 공룡,예림당,비문학,O,"공룡,과학",공룡의 세계를 만화로 생생하게 만나볼 수 있어요.
1학년,5,WHY? 날씨,예림당,비문학,O,"날씨,과학","비, 눈, 바람이 왜 생기는지 만화로 쉽게 알려줘요."
1학년,6,WHY? 바다,예림당,비문학,O,"바다,자연",넓고 깊은 바다의 비밀을 만화로 탐험해요.
1학년,7,WHY? 식물,예림당,비문학,O,"식물,자연",식물이 자라는 신기한 과정을 만화로 배워요.
1학년,8,WHY? 우주,예림당,비문학,O,"우주,과학",광활한 우주의 비밀을 만화로 쉽게 알려줘요.
1학년,9,신기한 스쿨버스: 인체 속으로,조애너 콜,비문학,O,"인체,과학",프리즐 선생님과 함께 몸속을 탐험하는 과학 모험이에요.
1학년,10,신기한 스쿨버스: 태양계 탐험,조애너 콜,비문학,O,"우주,과학",스쿨버스를 타고 태양계를 여행하며 행성을 배워요.
1학년,11,신기한 스쿨버스: 바다 탐험,조애너 콜,비문학,O,"바다,과학",바다 속 신기한 생물들을 직접 만나는 과학 모험이에요.
1학년,12,신기한 스쿨버스: 지구 속으로,조애너 콜,비문학,O,"지구,과학",땅속 깊이 들어가 지구의 구조를 배우는 모험이에요.
1학년,13,세밀화로 그린 보리 어린이 식물 도감,보리 편집부,비문학,,"식물,도감",우리 주변 식물을 세밀화로 관찰하고 배우는 도감이에요.
1학년,14,세밀화로 그린 보리 어린이 동물 도감,보리 편집부,비문학,,"동물,도감",우리나라 동물을 세밀화로 자세히 관찰할 수 있는 도감이에요.
1학년,15,세밀화로 그린 보리 어린이 곤충 도감,보리 편집부,비문학,,"곤충,도감",주변에서 볼 수 있는 곤충을 세밀화로 배우는 도감이에요.
1학년,16,똒똒한 한글왕,기탄교육,비문학,,"한글,학습",한글의 원리를 재미있는 이야기로 쉽게 배울 수 있어요.
1학년,17,1학년이 꼭 알아야 할 교과서 속 과학,아이세움,비문학,,"과학,교과서",1학년 교과서에 나오는 과학 개념을 쉽게 풀어줘요.
1학년,18,누가 내 머리에 똥 쌌어?,베르너 홀츠바르트,비문학,,"동물,관찰",동물마다 다른 똥 모양을 재미있게 알려주는 관찰 그림책이에요.
1학년,19,나의 첫 국어사전,낱말공장,비문학,,"국어,학습",처음 국어사전을 접하는 1학년을 위한 쉬운 사전이에요.
1학년,20,지구가 100명의 마을이라면,데이비드 스미스,비문학,,"세계,사회",세계를 100명 마을로 줄여서 쉽게 이해하게 해줘요.
1학년,21,이가 빠지면 지붕 위로 던져요,셀비 빌러,비문학,,"문화,세계",세계 여러 나라의 이 빠진 풍습을 재미있게 비교해요.
1학년,22,옛날 사람들은 어떻게 살았을까,유다정,비문학,,"역사,생활",옛날 사람들의 생활을 그림으로 쉽게 알려줘요.
1학년,23,내 몸 사용 설명서,시마다 쓰나미,비문학,,"인체,건강",우리 몸의 다양한 기능을 쉽고 재미있게 알려줘요.
1학년,24,교통 안전 그림책,한림출판사,비문학,,"안전,생활",교통 안전 규칙을 그림과 함께 쉽게 배울 수 있어요.
1학년,25,사계절 자연 놀이,봉현선,비문학,,"자연,놀이",계절마다 자연에서 할 수 있는 놀이를 소개해줘요.
1학년,26,왜 물은 높은 곳에서 낮은 곳으로 흐를까,정창훈,비문학,,"과학,자연",일상 속 과학 궁금증을 쉽게 풀어주는 과학 그림책이에요.
1학년,27,소중한 나의 몸,유문조,비문학,,"인체,성교육",나의 몸이 얼마나 소중한지 올바르게 알려주는 책이에요.
1학년,28,숫자 세기 1부터 100까지,김충원,비문학,,"수학,숫자",숫자의 개념을 놀이처럼 재미있게 익힐 수 있어요.
1학년,29,다 콩이야,마쓰오카 교코,비문학,,"식물,음식",콩이 변신하는 다양한 음식을 알려주는 과학 그림책이에요.
1학년,30,여러 나라의 인사법,박은정,비문학,,"문화,세계",세계 여러 나라의 다양한 인사법을 재미있게 배워요.
2학년,1,마당을 나온 암탉,황선미,문학,,"모험,사랑",자유를 꿈꾸는 암탉 잎싹의 감동적인 모험이에요.
2학년,2,아낌없이 주는 나무,쉘 실버스타인,문학,,"사랑,나눔",나무와 소년의 관계를 통해 사랑의 의미를 생각하게 해요.
2학년,3,멋진 여우 씨,로알드 달,문학,,"지혜,모험",세 농부에 맞서는 여우 가족의 통쾌한 이야기예요.
2학년,4,100층짜리 집,이와이 도시오,문학,,"탐험,숫자",100층까지 올라가며 다양한 동물의 집을 구경해요.
2학년,5,못된 녀석들,애런 블래이비,문학,,"유머,반전",나쁜 동물들이 좋은 일을 하려고 노력하는 유쾌한 이야기예요.
2학년,6,엄마 마중,이태준,문학,,"가족,기다림",엄마를 기다리는 아이의 마음을 섬세하게 그린 한국 명작이에요.
2학년,7,돼지 왕자,박연철,문학,,"변신,사랑",겉모습이 아닌 마음이 중요하다는 메시지를 전해요.
2학년,8,윌리와 휴,앤서니 브라운,문학,,"우정,다양성",서로 다른 두 친구의 특별한 우정 이야기예요.
2학년,9,나쁜 어린이 표,황선미,문학,,"학교,성장",2학년 또래의 학교생활 고민과 성장을 따뜻하게 그렸어요.
2학년,10,"용기를 내, 비닐장갑!",유설화,문학,,"용기,자존감",쓸모없다 여겨진 비닐장갑이 용기를 내는 이야기예요.
2학년,11,사소한 소원만 들어주는 두꺼비,은이결,문학,,"판타지,소원",진짜 소중한 것이 무엇인지 깨닫게 해주는 이야기예요.
2학년,12,나는 강물처럼 말해요,조던 스콧,문학,,"자존감,극복",말더듬이 소년이 자기만의 방식으로 세상과 소통해요.
2학년,13,책 먹는 여우,프란치스카 비어만,문학,,"독서,유머",책을 읽는 것을 넘어 먹어버리는 여우의 유쾌한 이야기예요.
2학년,14,고구마구마,사이다,문학,,"유머,말놀이",고구마를 좋아하는 아이의 말장난 가득한 재미있는 이야기예요.
2학년,15,깊은 밤 부엌에서,모리스 센닥,문학,,"모험,상상력",한밤중 부엌에서 벌어지는 환상적인 모험 이야기예요.
2학년,16,까막나라에서 온 삽살개,권정생,문학,,"우정,성장",삽살개와 아이의 특별한 우정을 그린 권정생의 동화예요.
2학년,17,꽃을 선물할게,강경수,문학,,"우정,선물",친구에게 꽃을 선물하려는 곰의 따뜻한 마음이 담겨 있어요.
2학년,18,돌아온 못된 녀석들,애런 블래이비,문학,,"유머,우정",못된 녀석들의 좌충우돌 영웅 도전이 계속돼요.
2학년,19,치과 의사 드소토 선생님,윌리엄 스타이그,문학,,"지혜,직업",작은 쥐 치과의사의 지혜로운 문제 해결이 통쾌해요.
2학년,20,심술꾸러기 산타,레이먼드 브릭스,문학,,"유머,크리스마스",투덜대면서도 선물을 나르는 산타의 유쾌한 하루예요.
2학년,21,제비를 그리는 아이,이수지,문학,,"예술,자유",그림 그리는 즐거움과 상상력을 아름답게 표현한 그림책이에요.
2학년,22,어디에서 왔니?,정진호,문학,,"탄생,가족",아이가 어디에서 왔는지 상상력 넘치게 풀어낸 그림책이에요.
2학년,23,지하 100층짜리 집,이와이 도시오,문학,,"탐험,자연",땅속 100층까지 내려가며 다양한 동물의 집을 구경해요.
2학년,24,바다 100층짜리 집,이와이 도시오,문학,,"탐험,바다",바다 속 100층까지 내려가며 신비한 해양 생물을 만나요.
2학년,25,이유가 있어요,요시타케 신스케,문학,,"유머,습관","코 파기, 다리 떨기... 나쁜 습관에도 다 이유가 있대요!"
2학년,26,고양이 해결사 깜냥,홍민정,문학,,"모험,추리",고양이 깜냥이 동네 사건을 해결하는 유쾌한 모험이에요.
2학년,27,조지의 놀라운 약,로알드 달,문학,,"유머,모험",조지가 만든 기상천외한 약! 로알드 달의 유머가 넘쳐요.
2학년,28,그루팔로,줄리아 도널드슨,문학,,"유머,지혜",꾀 많은 생쥐가 무서운 그루팔로를 만나는 유쾌한 이야기예요.
2학년,29,당근 유치원,안녕달,문학,,"학교,일상",당근 유치원에서 벌어지는 즐겁고 따뜻한 일상 이야기예요.
2학년,30,여름이 온다,이수지,문학,,"자연,계절",여름이 오는 모습을 아름다운 그림으로 표현한 칼데콧 수상작이에요.
2학년,1,WHY? 지구,예림당,비문학,O,"지구,과학",우리가 사는 지구의 비밀을 만화로 재미있게 알려줘요.
2학년,2,WHY? 발명·발견,예림당,비문학,O,"발명,과학",세상을 바꾼 위대한 발명과 발견을 만화로 배워요.
2학년,3,WHY? 화산,예림당,비문학,O,"화산,자연",화산은 왜 폭발할까? 만화로 쉽게 알려줘요.
2학년,4,WHY? 로봇,예림당,비문학,O,"로봇,기술",로봇의 원리와 미래를 만화로 재미있게 배워요.
2학년,5,WHY? 환경,예림당,비문학,O,"환경,자연",환경을 지키는 방법을 만화로 쉽게 알려줘요.
2학년,6,WHY? 물,예림당,비문학,O,"물,과학",물의 신기한 성질과 순환을 만화로 배워요.
2학년,7,신기한 스쿨버스: 전기 나라,조애너 콜,비문학,O,"전기,과학",전기의 원리를 스쿨버스 모험으로 재미있게 배워요.
2학년,8,신기한 스쿨버스: 허리케인,조애너 콜,비문학,O,"날씨,과학",폭풍 속으로 들어가 날씨의 원리를 배우는 모험이에요.
2학년,9,마법천자문 1권,시리얼,비문학,O,"한자,학습",마법 이야기와 함께 한자를 재미있게 익힐 수 있어요.
2학년,10,마법천자문 2권,시리얼,비문학,O,"한자,학습",모험을 하며 한자의 뜻과 모양을 자연스럽게 배워요.
2학년,11,으뜸 헤엄이의 바다 동물 관찰기,레오 리오니,비문학,,"바다,동물",바다 생물의 다양한 모습을 아름다운 그림으로 관찰해요.
2학년,12,"탁한 공기, 이제 그만",이욱재,비문학,,"환경,공기",맑은 공기가 사라지면 어떻게 될까? 공기 오염의 심각성을 재미있는 상상으로 알려주는 환경 그림책이에요.
2학년,13,나는야 화폐 왕,박은정,비문학,,"경제,돈",화폐의 역사와 돈의 가치를 재미있게 배워요.
2학년,14,세계 음식 여행,김인혜,비문학,,"문화,음식",세계 여러 나라의 음식과 식문화를 알려줘요.
2학년,15,내가 처음 가본 박물관,국립중앙박물관,비문학,,"역사,문화",박물관에서 만나는 우리나라 역사와 문화를 소개해요.
2학년,16,안전 대장이 될래요,한국어린이안전재단,비문학,,"안전,생활",일상에서 꼭 알아야 할 안전 수칙을 알려줘요.
2학년,17,달팽이 과학동화: 물은 어디로 갈까,웅진씽크빅,비문학,,"과학,자연",물의 순환 과정을 이야기로 쉽게 풀어줘요.
2학년,18,1·2학년이 꼭 읽어야 할 교과서 전래동화,기탄교육,비문학,,"전래,교과서",교과서에 나오는 전래동화의 교훈을 정리해줘요.
2학년,19,나의 첫 한국사,이광희,비문학,,"역사,한국사",우리나라 역사를 쉬운 이야기로 처음 만나볼 수 있어요.
2학년,20,직업이 뭐예요?,박신식,비문학,,"직업,사회",다양한 직업의 세계를 그림과 함께 쉽게 알려줘요.
2학년,21,빛이 만드는 세계,정창훈,비문학,,"빛,과학",빛의 성질과 역할을 쉬운 실험으로 배울 수 있어요.
2학년,22,우리 동네 자연 관찰,봉현선,비문학,,"자연,관찰",동네에서 만날 수 있는 동식물을 관찰하는 방법을 알려줘요.
2학년,23,재미있는 수학 여행,김용운,비문학,,"수학,논리",숫자와 도형의 재미를 놀이처럼 알려주는 수학 입문서예요.
2학년,24,우리 몸의 구멍,허은미,비문학,,"인체,과학","눈, 코, 입, 귀 등 몸의 구멍이 하는 역할을 알려줘요."
2학년,25,거미줄은 왜 끈적끈적할까,정창훈,비문학,,"곤충,과학",곤충의 신기한 비밀을 과학적으로 풀어주는 책이에요.
2학년,26,여기는 맛있는 농장이야,한태희,비문학,,"농업,음식",우리가 먹는 음식이 어디에서 오는지 알려주는 그림책이에요.
2학년,27,세상에서 가장 큰 동물 도감,톰 잭슨,비문학,,"동물,비교",세상에서 가장 큰 동물들을 실제 크기로 비교해봐요.
2학년,28,우리에겐 권리가 있어!,알랭 시셰,비문학,,"권리,사회",어린이가 가진 소중한 권리들을 다섯 걸음으로 쉽고 재미있게 알려주는 그림책이에요.
2학년,29,한글을 만든 세종대왕,한국위인전편집부,비문학,,"인물,역사",한글을 만든 세종대왕의 이야기를 쉽게 알려줘요.
2학년,30,내 친구 지구,패트리샤 매클라클란,비문학,,"지구,환경",지구를 아끼고 사랑하는 마음을 키워주는 그림책이에요.
3학년,1,찰리와 초콜릿 공장,로알드 달,문학,,"모험,판타지",윌리 웡카의 신비한 초콜릿 공장 탐험! 착한 마음이 보상받아요.
3학년,2,마법의 시간여행 1: 공룡 시대로,메리 폽 오스본,문학,,"모험,역사",나무 위 오두막에서 시간여행을 떠나는 남매의 모험이에요.
3학년,3,마법의 시간여행 2: 중세의 성,메리 폽 오스본,문학,,"모험,역사",중세 시대 성으로 시간여행을 떠나는 두 번째 모험이에요.
3학년,4,행복한 청소부,모니카 페트,문학,,"행복,직업",청소부 아저씨가 예술을 통해 행복을 찾는 이야기예요.
3학년,5,무툴라는 못말려,베벌리 나이두,문학,,"유머,지혜",꾀 많은 산토끼 무툴라가 힘센 동물들을 골탕 먹이는 아프리카 전래 이야기예요. 3학년 국어 교과서에도 실린 재치 만점 작품이에요.
3학년,6,꽃들에게 희망을,트리나 폴러스,문학,,"희망,성장",애벌레가 나비가 되는 과정을 통해 희망의 메시지를 전해요.
3학년,7,바람이 멈출 때,샬로트 졸로토,문학,,"자연,순환",끝이 아닌 새로운 시작이 있다는 깨달음을 주는 아름다운 책이에요.
3학년,8,마지막 거인,프랑수아 플라스,문학,,"모험,다양성",마지막 남은 거인을 발견한 소년의 감동적인 이야기예요.
3학년,9,점,피터 레이놀즈,문학,,"자신감,예술",작은 점 하나로 시작하는 예술의 세계! 누구나 창의적일 수 있어요.
3학년,10,나의 린드그렌 선생님,유은실,문학,,"성장,학교",선생님과 제자 사이의 따뜻한 성장 이야기예요.
3학년,11,세상에서 가장 힘센 수탉,이호백,문학,,"지혜,우화",힘이 아닌 지혜로 문제를 해결하는 수탉의 이야기예요.
3학년,12,해리의 꽃무늬 옷,진 지온,문학,,"개성,자아",자기 모습을 찾아가는 강아지 해리의 이야기예요.
3학년,13,제임스와 슈퍼 복숭아,로알드 달,문학,,"모험,판타지",거대한 복숭아 속 곤충 친구들과의 환상적인 모험이에요.
3학년,14,이사 도중에 만난 사람들,유형진,문학,,"일상,가치",진짜 소중한 것이 무엇인지 고민하게 하는 따뜻한 이야기예요.
3학년,15,달려라 달려,김혜원,문학,,"성장,도전",포기하지 않고 달리는 아이의 도전과 성장 이야기예요.
3학년,16,BFG: 거인 아저씨,로알드 달,문학,,"판타지,우정",착한 거인과 소녀 소피의 특별한 우정과 모험이에요.
3학년,17,마녀 위니,밸러리 토머스,문학,,"판타지,유머",마녀 위니와 고양이 윌버의 유쾌한 마법 소동이에요.
3학년,18,마녀들,로알드 달,문학,,"판타지,용기",진짜 마녀를 만난 소년의 스릴 넘치는 모험! 용기를 배워요.
3학년,19,그림도둑 준모,오승희,문학,,"우정,정직",친구의 그림을 몰래 가져간 준모의 흔들리는 마음을 통해 정직과 우정의 의미를 깨닫게 해주는 창작동화예요.
3학년,20,로봇의 별,이현,문학,,"SF,우정",로봇과 인간의 우정을 그린 따뜻한 한국 SF 동화예요.
3학년,21,푸른 사자 와니니,이현,문학,,"성장,용기",들판에 홀로 남겨진 아기 사자의 성장과 용기의 이야기예요.
3학년,22,방과 후 초능력 클럽,김리리,문학,,"판타지,학교",방과 후에 초능력이 생긴 아이들의 유쾌한 모험이에요.
3학년,23,내가 라면을 먹을 때,하세가와 요시후미,문학,,"세계,공감",내가 라면을 먹을 때 세계 다른 곳의 아이들은 뭘 하고 있을까?
3학년,24,캡틴 언더팬츠 1,데이브 필키,문학,O,"유머,모험",두 소년이 만든 만화 속 영웅이 진짜가 되는 웃음 폭발 모험이에요.
3학년,25,윔피키드 1: 별난 놈의 일기,제프 키니,문학,O,"학교,유머",평범한 학생 그레그의 좌충우돌 학교생활 일기예요.
3학년,26,이상한 과자 가게 전천당 1,히로시마 레이코,문학,,"판타지,선택",신비한 과자 가게에서 파는 마법 과자들! 선택에 따라 결과가 달라져요.
3학년,27,이상한 과자 가게 전천당 2,히로시마 레이코,문학,,"판타지,교훈",전천당의 신비한 과자들! 욕심을 부리면 어떤 결과가 올까요?
3학년,28,수상한 학원,박현숙,문학,,"미스터리,학교",수상한 학원에서 벌어지는 미스터리를 풀어가는 이야기예요.
3학년,29,벗지 못하는 아이,요시타케 신스케,문학,,"유머,일상",옷이 벗겨지지 않는 아이의 기발한 상상이 웃음을 줘요.
3학년,30,내 모자 어디 갔을까,존 클라센,문학,,"유머,추리",모자를 잃어버린 곰의 유쾌한 추적기! 반전이 재미있어요.
3학년,1,WHY? 빛과 소리,예림당,비문학,O,"물리,과학",빛과 소리의 원리를 만화로 쉽게 알려줘요.
3학년,2,WHY? 미생물,예림당,비문학,O,"생물,과학",눈에 보이지 않는 미생물의 세계를 만화로 탐험해요.
3학년,3,WHY? 에너지,예림당,비문학,O,"에너지,과학",에너지란 무엇이고 왜 중요한지 만화로 배워요.
3학년,4,WHY? 전기·전자,예림당,비문학,O,"전기,기술",전기와 전자의 원리를 만화로 재미있게 알려줘요.
3학년,5,살아남기 시리즈: 무인도에서 살아남기,코믹컴,비문학,O,"생존,자연",무인도에서 살아남는 방법과 과학 지식을 배워요.
3학년,6,살아남기 시리즈: 사막에서 살아남기,코믹컴,비문학,O,"생존,자연",사막 환경의 특징과 생존 과학을 재미있게 알려줘요.
3학년,7,살아남기 시리즈: 빙하에서 살아남기,코믹컴,비문학,O,"생존,자연",빙하 지대의 과학과 생존법을 만화로 배워요.
3학년,8,과학실험왕 1: 산과 염기,스토리 a.,비문학,O,"실험,과학",산과 염기 실험을 통해 화학의 기초를 만화로 배워요.
3학년,9,과학실험왕 2: 지구의 역사,스토리 a.,비문학,O,"지구,과학",지구가 어떻게 만들어졌는지 실험과 만화로 배워요.
3학년,10,설민석의 한국사 대모험 1,설민석,비문학,O,"한국사,역사",한국사를 재미있는 만화 모험으로 배울 수 있어요.
3학년,11,설민석의 한국사 대모험 2,설민석,비문학,O,"한국사,역사",고조선부터 삼국시대까지 만화로 신나게 배워요.
3학년,12,파브르 곤충기,장 앙리 파브르,비문학,,"곤충,관찰",곤충의 신비로운 세계를 생생하게 그린 과학 고전이에요.
3학년,13,지구를 살리는 10가지 습관,이한음,비문학,,"환경,실천",환경을 위해 일상에서 실천할 수 있는 방법을 알려줘요.
3학년,14,투발루에게 수영을 가르칠 걸 그랬어,유다정,비문학,,"환경,기후",기후 변화로 사라져가는 나라 이야기로 환경 문제를 생각해요.
3학년,15,어린이를 위한 한국의 역사 1,이이화,비문학,,"한국사,역사",한국 역사를 이야기처럼 쉽고 재미있게 풀어줘요.
3학년,16,수학도둑 1,송도수,비문학,O,"수학,논리",수학 개념을 도둑 이야기와 함께 만화로 재미있게 배워요.
3학년,17,수학도둑 2,송도수,비문학,O,"수학,논리",도형과 측정을 만화 모험으로 재미있게 풀어줘요.
3학년,18,"이순신을 만든 글자, 한글",정해왕,비문학,,"인물,역사",이순신 장군의 이야기를 통해 한국 역사를 쉽게 배워요.
3학년,19,삼국유사 어린이판,일연 원작,비문학,,"역사,신화",단군 신화부터 다양한 옛이야기를 만나볼 수 있어요.
3학년,20,별자리를 찾아서,한국천문연구원,비문학,,"우주,관찰",밤하늘의 별자리를 찾고 우주 이야기를 들어봐요.
3학년,21,우리나라 지도 여행,이광표,비문학,,"지리,한국",지도를 보며 우리나라 곳곳을 여행하듯 배워요.
3학년,22,처음 만나는 경제 이야기,이재영,비문학,,"경제,사회","돈, 시장, 경제의 기본 개념을 쉬운 이야기로 알려줘요."
3학년,23,음식의 비밀: 맛있는 과학,정창훈,비문학,,"음식,과학",우리가 먹는 음식 속에 숨겨진 과학 원리를 알려줘요.
3학년,24,어린이를 위한 논어,공자 원작,비문학,,"철학,인성",공자의 가르침을 어린이 눈높이로 쉽게 풀어줘요.
3학년,25,전통 놀이 백과,전통놀이보존회,비문학,,"전통,놀이",우리나라 전통 놀이를 배우고 직접 해볼 수 있어요.
3학년,26,소중한 우리 문화재,한국문화재재단,비문학,,"문화재,역사",우리나라의 소중한 문화재를 쉽게 알려주는 책이에요.
3학년,27,내일은 발명왕 1,곰돌이 co.,비문학,O,"발명,과학",발명의 원리와 과정을 만화로 재미있게 배워요.
3학년,28,감기에 대한 모든 것,닥터 사이언스,비문학,,"건강,인체",감기는 왜 걸리고 어떻게 나을까? 건강 상식을 알려줘요.
3학년,29,자연은 우리 선생님,봉현선,비문학,,"자연,생태",자연에서 배우는 지혜와 과학을 쉽게 풀어줘요.
3학년,30,3학년을 위한 교과서 속 과학 실험,아이세움,비문학,,"실험,과학",교과서에 나오는 과학 실험을 직접 해볼 수 있어요.
4학년,1,"나니아 연대기: 사자, 마녀, 옷장",C.S. 루이스,문학,,"판타지,모험",옷장 너머 마법의 나라 나니아! 선과 악의 대결이 펼쳐져요.
4학년,2,호빗,J.R.R. 톨킨,문학,,"판타지,모험",평범한 호빗이 위대한 모험을 떠나는 판타지 명작이에요.
4학년,3,별을 헤아리며,로이스 로리,문학,,"역사,용기",유대인 친구를 구하려는 소녀의 용기 있는 이야기. 뉴베리 수상작이에요.
4학년,4,마틸다,로알드 달,문학,,"천재,유머",책을 사랑하는 천재 소녀 마틸다의 통쾌한 이야기예요.
4학년,5,긴긴밤,루리,문학,,"우정,생명",코끼리와 소년의 긴 밤. 생명의 존엄성과 연대를 느껴요.
4학년,6,시간을 파는 상점,김선영,문학,,"판타지,시간",시간의 소중함을 판타지로 풀어낸 한국 창작동화예요.
4학년,7,수상한 아파트,홍민정,문학,,"미스터리,추리",아파트에서 벌어지는 수상한 사건을 풀어가는 추리 이야기예요.
4학년,8,빈 화분,데미,문학,,"정직,용기",빈 화분을 들고 간 소년이 왕이 되는 이야기. 정직의 가치를 배워요.
4학년,9,내 짝꿍 최영대,채인선,문학,,"학교,공감",말없는 전학생 영대를 통해 친구를 이해하고 공감하는 법을 배우는 창비 수상작이에요.
4학년,10,짜장면 불어요!,이현,문학,,"우정,성장",동네 네 아이의 이야기가 얽히며 성장해 가는 감동적인 창비 수상작이에요.
4학년,11,비가 오면,이적,문학,,"시,감성",비 오는 날의 감정을 아름다운 언어로 표현한 시 그림책이에요.
4학년,12,물구나무서서 본 세상,신현림,문학,,"시,관점",세상을 다른 각도에서 바라보는 재미있는 시 모음이에요.
4학년,13,"선생님, 바보 의사 선생님",이상희,문학,,"인물,헌신",장기려 박사의 헌신적인 삶을 그린 감동적인 이야기예요.
4학년,14,샬롯의 거미줄,E.B. 화이트,문학,,"우정,생명",거미 샬롯과 아기돼지 윌버의 특별한 우정 이야기. 진정한 우정과 생명의 소중함을 느끼게 해주는 세계 아동문학의 고전이에요.
4학년,15,아이스크림 가게 앞에서,박현숙,문학,,"학교,우정",4학년 또래의 학교생활과 우정을 현실감 있게 그렸어요.
4학년,16,몽실 언니,권정생,문학,,"가족,전쟁",전쟁 속에서도 동생을 지키려는 몽실 언니의 감동적인 이야기예요.
4학년,17,마법의 시간여행 3: 해적왕의 비밀,메리 폽 오스본,문학,,"모험,해적",해적 시대로 시간여행을 떠나 보물을 찾는 모험이에요.
